LOR,LOR Name,31.12.2017,31.12.2007,31.12.2008,31.12.2009,31.12.2010,31.12.2011,31.12.2012,31.12.2013,31.12.2014,31.12.2015,31.12.2016
08010117,Schillerpromenade,168,46,39,65,59,114,131,185,177,177,165
08010118,Silbersteinstraße,100,18,27,36,33,57,77,115,113,108,87
08010211,Flughafenstraße,111,31,47,63,56,81,111,127,121,132,109
08010212,Rollberg,32,3,9,6,6,10,30,38,40,35,30
08010213,Körnerpark,114,13,27,12,36,73,104,110,133,115,113
08010214,Glasower Straße,47,28,33,21,27,27,41,36,52,65,46
08010301,Reuterkiez,334,129,160,177,190,265,307,348,347,332,304
08010302,Bouchéstraße,15,9,10,9,7,15,27,18,24,16,14
08010303,Donaustraße,91,34,27,52,64,75,96,122,107,110,92
08010404,Rixdorf,203,53,51,69,86,115,158,181,194,207,190
08010405,Hertzbergplatz,86,10,16,25,33,54,74,83,82,95,81
08010406,Treptower Straße Nord,61,3,9,13,6,9,23,47,44,46,50
08010407,Gewerbegebiet Ederstraße,3,-,-,-,9,9,3,3,6,6,9
08010508,Weiße Siedlung,15,-,3,6,3,-,9,11,15,16,18
08010509,Schulenburgpark,15,-,-,-,-,9,15,12,12,12,15
08010510,Gewerbegebiet Köllnische Heide,-,3,6,3,-,-,-,-,-,-,-
08020619,Buschkrugallee Nord,21,18,16,6,3,10,3,9,7,9,12
08020620,Tempelhofer Weg,25,-,6,3,-,12,16,23,21,18,18
08020621,Mohriner Allee Nord,-,3,-,9,4,6,3,3,-,3,3
08020622,Parchimer Allee,15,3,14,12,13,12,3,6,13,19,15
08020623,Ortolanweg,-,-,-,-,-,-,-,-,-,-,-
08020624,Britzer Garten,3,-,-,-,-,-,-,-,-,-,3
08020625,Handwerker-Siedlung,3,9,-,6,10,4,13,6,6,7,9
08020726,Buckow West,3,-,-,-,3,3,-,3,3,6,10
08020727,Buckow Mitte,6,18,18,3,6,12,15,6,10,6,6
08020728,Buckow Ost,9,3,3,7,-,-,9,10,6,6,6
08030829,Gropiusstadt Nord,9,15,6,12,12,12,9,7,12,18,19
08030830,Gropiusstadt Süd,10,7,-,3,-,6,6,12,12,9,3
08030831,Gropiusstadt Ost,9,3,9,4,3,9,9,7,12,10,12
08040932,Goldhähnchenweg,3,-,3,3,4,-,3,6,6,-,-
